drawer	рысавальнік
dream	мроя
DTMF tones	танальныя сыґналы
edit	правіць
effects	ператварэньні
elite	прасунуты
email arrives	прыходзіць пошта
email	эл. пошта
emergency	надзвычайны
emoticons	пачуцьцезнакі
emoticon	пачуцьцезнак
empty	парожні
enable/disable	ці карыстацца
encryption	тайнапіс
encryption	шыфраваньне
End-User License Agreement	ліцэнзійнае пагадненьне
engines	рухавікі
engine	рухавік
engine	рухавік -а
entered	упісалі
enterprise	прадпрыемства
enter	пазначаць
enter	упісваць
erase	сьціраць (файл), вычышчаць (сховішча)
error occured	выявілася памылка
error occured	далі хібу
error occured	здарылася памылка
error occurred	далі хібу
error	памылка
error	хіба
ethernet	дротавая сетка
event	падзея
expense	выдатак
Explore by Touch	Дасьледаваць дотыкам
explore	выведваць
explore	дасьледаваць
export	вымаць
exposure	насьвятленьне
external	вонкавы
Facebook	Facebook
failed	не ўдалося
failure	няўдача
favorites	упадабаныя
favorite	упадабаны
FCs	памылкі
FC	памылка
FDN	замацаваныя нумары (ЗН)
feature code	код уласьцівасьці
featured	прыкмечаныя
features	функцыі
feedback	водгук
feeds	жывільнікі
feed	жывільнік
fetching	атрымваецца
fetch	атрымваць
file	файл -а
Find Friends	Шукаць сяброў
firewall	сетказаслона
flashlight	ліхтарык
flashlight	ліхтарык -а
flash	выбліск
folders	каталёґі
folder	каталёґ
folder	каталёґ -а
followers	падпісанты
follower	падпісант	
font	шрыфт -у
format	разьмячаць
for more information	каб даведацца болей
form	блянк
forwarding	перасылаецца
forwarding	перасыланьне
forward	перасылаць
frame	кадр
friend request	запыт сябраваць
gadget	забаўка
Gallery	ґалерэя
gateway	брама
General	«Агульнае»
general	агульны
general	галоўны
geolocation	вызначаць ґеаґрафічнае мейсца
gesture	жэст -у
ghost mode	прывідны стан
GMT	час па Ґрынвічы
Go offline	Адлучыцца
Google	Google
Google Instant	Хуткі Google
Google Mail	Пошта Google
Google Maps Navigation	Навіґацыя мапамі Google
Google Messaging Service	служба паведамленьняў Google
Google Talk	Гутарка Google
Go online	Далучыцца
groups	суполкі
group	суполка
group	супольны
GTalk	Гутарка Google
guests	запрошаныя
handle	апрацоўваць
handset	тэлефонная слухаўка
haptic feedback	водгук па дотыку
haptic	дотыкавы
hardware	прыстасаваньні
HID	прылады ўзаемадзейнічаць з карыстальнікам	human interface device
highlighted	падсьвечаны
hint	намінка
home button	кнопка «дамоў»
